Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
BUKK,Bukaka Teknik Utama Tbk.,2015-06-29,2640452000,Pengembangan,Infrastructures,1125,2970508500000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2015-06-29,2022-04-16
BULL,Buana Lintas Lautan Tbk.,2011-05-23,14117599210,Utama,Energy,151,2131757480710,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2011-05-23,2022-04-16
BUMI,Bumi Resources Tbk.,1990-07-30,115634113853,Pengembangan,Energy,68,7863119742004,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
BUVA,Bukit Uluwatu Villa Tbk.,2010-07-12,6811269200,Pengembangan,Consumer Cyclicals,60,408676152000,,,2020-04-16 09:00:00,2022-04-15 16:00:00,2010-07-12,2022-04-16
BVIC,Bank Victoria International Tb,1999-06-30,10382261242,Utama,Financials,178,1848042501076,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2001-04-16,2022-04-16
BWPT,Eagle High Plantations Tbk.,2009-10-27,31525291000,Utama,Consumer Non-Cyclicals,84,2648124444000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2009-10-27,2022-04-16
BYAN,Bayan Resources Tbk.,2008-08-12,3333333500,Utama,Energy,43200,144000007200000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2008-08-12,2022-04-16
CAKK,Cahayaputra Asa Keramik Tbk.,2018-10-31,1203300219,Pengembangan,Industrials,88,105890419272,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2018-10-31,2022-04-16
CAMP,Campina Ice Cream Industry Tbk,2017-12-19,5885000000,Utama,Consumer Non-Cyclicals,274,1612490000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2017-12-19,2022-04-16
CANI,Capitol Nusantara Indonesia Tb,2014-01-16,833440000,Pengembangan,Energy,138,115014720000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2014-01-16,2022-04-16
CARE,Metro Healthcare Indonesia Tbk,2020-03-13,33250000000,Pengembangan,Healthcare,590,19617500000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2020-03-13,2022-04-16
CARS,Industri dan Perdagangan Bintr,2017-04-10,15000000000,Utama,Consumer Cyclicals,50,750000000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2017-04-10,2022-04-16
CASA,Capital Financial Indonesia Tb,2016-07-19,54476269803,Pengembangan,Financials,570,31051473787710,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2016-07-19,2022-04-16
CASH,Cashlez Worldwide Indonesia Tb,2020-05-04,1431125517,Akselerasi,Technology,198,283362852366,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-05-04 09:00:00,2022-04-15 16:00:00,2020-05-04,2022-04-16
CASS,Cardig Aero Services Tbk.,2011-12-05,2086950000,Pengembangan,Infrastructures,354,738780300000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2011-12-05,2022-04-16
CBMF,Cahaya Bintang Medan Tbk.,2020-04-09,1875000000,Pengembangan,Consumer Cyclicals,61,114375000000,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2020-04-09,2022-04-16
CCSI,Communication Cable Systems In,2019-06-18,1199999998,Pengembangan,Industrials,745,893999998510,2021-11-01 09:00:00,2022-04-15 15:59:00,2020-04-16 09:00:00,2022-04-15 16:00:00,2019-06-18,2022-04-16
