date, pm25, pm10
2022/8/22, 115, 
2022/8/23, 148, 
2022/8/24, 144, 
2022/8/25, 126, 
2022/8/26, 158, 
2022/8/27, 145, 
2022/8/28, 122, 
2022/8/29, 125, 
2022/8/30, 123, 
2022/8/31, 148, 
2022/9/1, 110, 
2022/9/2, 128, 
2022/9/3, 97, 
2022/9/4, 57, 
2022/9/5, 132, 
2022/9/6, 105, 
2022/9/7, 110, 
2022/9/8, 128, 
2022/9/9, 138, 
2022/9/10, 125, 
2022/9/11, 113, 
2022/9/12, 102, 
2022/9/13, 135, 
2022/9/14, 135, 
2022/9/15, 134, 
2022/9/16, 133, 
2022/9/17, 135, 
2022/9/18, 158, 
2022/9/19, 138, 
2022/9/20, 137, 
2022/9/21, 126, 
2022/9/22, 141, 
2022/9/23, 138, 
2022/9/24, 102, 
2022/9/25, 126, 
2022/9/26, 121, 
2022/9/27, 102, 
2022/9/28, 134, 
2022/9/29, 129, 
2022/9/30, 132, 
2022/4/1, 138, 62
2022/4/2, 85, 33
2022/4/3, 51, 17
2022/4/4, 91, 52
2022/4/5, 125, 38
2022/4/6, 94, 43
2022/4/7, 102, 27
2022/4/8, 73, 43
2022/4/9, 102, 52
2022/4/10, 124, 44
2022/4/11, 113, 60
2022/4/12, 155, 71
2022/4/13, 153, 41
2022/4/14, 104, 51
2022/4/15, 132, 48
2022/4/16, 125, 56
2022/4/17, 128, 37
2022/4/18, 98, 44
2022/4/19, 108, 38
2022/4/20, 86, 31
2022/4/21, 82, 64
2022/4/22, 135, 46
2022/4/23, 115, 41
2022/4/24, 106, 49
2022/4/25, 115, 33
2022/4/26, 81, 24
2022/4/27, 66, 20
2022/4/28, 56, 
2022/4/29, 51, 
2022/4/30, 98, 
2022/5/1, 101, 
2022/5/2, 103, 
2022/5/3, 71, 
2022/5/4, 89, 
2022/5/5, 74, 
2022/5/6, 65, 
2022/5/7, 104, 
2022/5/8, 76, 
2022/5/9, 90, 
2022/5/10, 103, 
2022/5/11, 94, 34
2022/5/12, 90, 29
2022/5/13, 76, 49
2022/5/14, 117, 50
2022/5/15, 125, 44
2022/5/16, 113, 33
2022/5/17, 106, 
2022/5/18, 115, 
2022/5/19, 147, 20
2022/5/20, 109, 44
2022/5/21, 102, 
2022/5/22, 108, 
2022/5/23, 115, 
2022/5/24, 109, 
2022/5/25, 130, 
2022/5/26, 106, 
2022/5/27, 138, 
2022/5/28, 125, 
2022/5/29, 87, 
2022/5/30, 93, 25
2022/5/31, 117, 23
2022/6/2, 79, 32
2022/6/3, 99, 
2022/6/4, 122, 
2022/6/5, 126, 
2022/6/6, 117, 50
2022/6/7, 107, 39
2022/6/8, 100, 36
2022/6/9, 85, 51
2022/6/10, 100, 
2022/6/11, 102, 
2022/6/12, 125, 
2022/6/13, 105, 
2022/6/14, 123, 
2022/6/15, 152, 76
2022/6/16, 138, 
2022/6/17, 134, 
2022/6/18, 132, 
2022/6/19, 135, 
2022/6/20, 147, 64
2022/6/21, 131, 
2022/6/22, 136, 67
2022/6/23, 130, 
2022/6/24, 155, 
2022/6/25, 139, 
2022/6/26, 122, 50
2022/6/27, 117, 
2022/6/28, 106, 
2022/6/29, 93, 63
2022/6/30, 123, 
2022/1/27, 72, 
2022/1/28, 83, 
2022/1/29, 128, 
2022/1/30, 145, 
2022/1/31, 93, 
2022/2/1, 90, 
2022/2/2, 65, 
2022/2/3, 85, 
2022/2/4, 70, 
2022/2/5, 78, 
2022/2/6, 59, 
2022/2/7, 58, 
2022/2/8, 114, 
2022/2/9, 95, 
2022/2/10, 63, 
2022/2/11, 124, 
2022/2/15, 146, 
2022/2/16, 118, 
2022/2/17, 119, 
2022/2/18, 109, 
2022/2/19, 124, 
2022/2/20, 104, 
2022/2/21, 95, 
2022/2/22, 98, 
2022/2/23, 97, 
2022/2/24, 61, 
2022/2/25, 63, 19
2022/2/26, 66, 21
2022/2/27, 55, 14
2022/2/28, 74, 22
2022/3/1, 62, 19
2022/3/2, 71, 28
2022/3/3, 56, 19
2022/3/4, 68, 21
2022/3/5, 66, 24
2022/3/6, 66, 21
2022/3/7, 60, 18
2022/3/8, 75, 27
2022/3/11, 115, 60
2022/3/12, 54, 
2022/3/13, 72, 
2022/3/14, 115, 
2022/3/15, 96, 
2022/3/16, 108, 
2022/3/17, 123, 
2022/3/18, 120, 34
2022/3/19, 68, 21
2022/3/20, 62, 
2022/3/21, 49, 
2022/3/22, 71, 
2022/3/23, 52, 
2022/3/25, 129, 61
2022/3/26, 131, 54
2022/3/27, 129, 52
2022/3/28, 72, 27
2022/3/29, 107, 46
2022/3/30, 114, 
2022/3/31, 88, 37
2021/10/14, 22, 62
2021/10/15, 39, 72
2021/10/16, 32, 
2021/10/17, 36, 
2021/10/18, 13, 22
2021/10/19, 28, 37
2021/10/20, 20, 
2021/10/21, 28, 
2021/10/22, 39, 70
2021/10/23, 31, 
2021/10/24, 30, 55
2021/10/26, 28, 51
2021/10/27, 26, 34
2021/10/28, 24, 50
2021/10/29, 31, 50
2021/10/30, 25, 
2021/10/31, 33, 63
2021/11/1, 27, 57
2021/11/2, 26, 37
2021/11/3, 23, 44
2021/11/4, 27, 46
2021/11/5, 33, 39
2021/11/6, 28, 32
2021/11/7, 21, 28
2021/11/8, 29, 42
2021/11/9, 28, 35
2021/11/10, 14, 22
2021/11/11, 19, 
2021/11/12, 23, 10
2021/7/1, 24, 49
2021/7/2, 39, 49
2021/7/3, 24, 61
2021/7/4, 32, 68
2021/7/5, 34, 53
2021/7/6, 21, 62
2021/7/7, 30, 71
2021/7/8, 29, 66
2021/7/9, 29, 55
2021/7/10, 24, 49
2021/7/11, 20, 44
2021/7/12, 19, 63
2021/7/13, 21, 37
2021/7/14, 17, 88
2021/7/15, 35, 72
2021/7/16, 37, 57
2021/7/17, 30, 71
2021/7/18, 28, 72
2021/7/19, 30, 
2021/7/26, 38, 
2021/7/27, 27, 
2021/7/28, 37, 
2021/7/29, 25, 68
2021/7/30, 30, 
2021/7/31, 13, 37
2021/8/1, 22, 33
2021/8/2, 19, 
2021/8/3, 23, 37
2021/8/4, 23, 51
2021/8/5, 25, 46
2021/8/6, 29, 54
2021/8/7, 28, 55
2021/8/8, 28, 46
2021/8/9, 25, 33
2021/8/10, 16, 54
2021/8/11, 25, 51
2021/8/12, 31, 65
2021/8/13, 24, 68
2021/8/16, 16, 57
2021/8/17, 28, 53
2021/8/18, 24, 58
2021/8/19, 29, 52
2021/8/20, 31, 47
2021/8/21, 23, 53
2021/8/22, 32, 55
2021/8/23, 32, 64
2021/8/24, 33, 51
2021/8/25, 29, 52
2021/8/26, 29, 61
2021/8/27, 37, 66
2021/8/28, 36, 64
2021/8/29, 38, 71
2021/8/30, 37, 58
2021/8/31, 24, 58
2021/9/1, 43, 55
2021/9/2, 39, 55
2021/9/3, 25, 48
2021/9/4, 23, 56
2021/9/5, 34, 54
2021/9/6, 34, 41
2021/9/7, 20, 46
2021/9/8, 28, 43
2021/9/9, 30, 47
2021/9/10, 25, 55
2021/9/11, 30, 43
2021/9/12, 27, 36
2021/9/13, 29, 32
